Unnamed: 0,Action Betw,resource,satisfied demand,mean rem demand,actual rem demand,collected debris,satisfied demand.1,period,exponential period,degree,period_nonlinear,actual first rem,Qval
"(297, 5)",18.0,3.0,2.0,0,0.0,2.0,4.0,5.0,0.367879441171,1.0,0.367879441171,2.0,110.363832351
"(301, 2)",30.0,4.0,0.0,3,3.0,3.5,5.0,8.0,0.201896517995,0.0,0.201896517995,3.0,49.589666466499999
"(301, 5)",15.0,3.0,3.0,0,0.0,3.5,5.0,7.0,0.246596963942,0.0,0.246596963942,3.0,73.979089182500005
"(301, 6)",15.0,1.0,3.0,0,0.0,3.5,5.0,5.0,0.367879441171,0.0,0.367879441171,3.0,110.363832351
"(302, 5)",15.0,3.0,3.0,0,0.0,7.5,5.0,11.0,0.110803158362,0.0,0.110803158362,3.0,33.240947508699996
"(302, 6)",15.0,1.0,3.0,0,0.0,7.5,5.0,9.0,0.165298888222,0.0,0.165298888222,3.0,49.589666466499999
"(307, 0)",40.0,0.5,0.0,3,4.0,6.5,5.0,7.0,0.246596963942,0.0,0.246596963942,4.0,80.758607197900005
"(307, 3)",40.0,0.5,0.0,3,4.0,6.5,5.0,7.0,0.246596963942,0.0,0.246596963942,4.0,80.758607197900005
"(307, 5)",20.0,3.0,4.0,0,0.0,7.5,5.0,11.0,0.110803158362,0.0,0.110803158362,4.0,44.321263344899997
"(307, 6)",20.0,1.0,4.0,0,0.0,7.5,5.0,9.0,0.165298888222,0.0,0.165298888222,4.0,66.119555288599997
"(308, 0)",20.0,0.5,0.0,3,2.0,3.0,5.0,4.0,0.449328964117,0.0,0.449328964117,2.0,89.8657928234
"(308, 2)",20.0,4.0,0.0,3,2.0,3.0,5.0,7.0,0.246596963942,0.0,0.246596963942,2.0,40.379303598900002
"(308, 3)",20.0,0.5,0.0,3,2.0,3.0,5.0,4.0,0.449328964117,0.0,0.449328964117,2.0,89.8657928234
"(308, 5)",10.0,3.0,2.0,0,0.0,3.0,5.0,6.0,0.301194211912,0.0,0.301194211912,2.0,60.238842382399994
"(308, 6)",10.0,1.0,2.0,0,0.0,3.0,5.0,4.0,0.449328964117,0.0,0.449328964117,2.0,89.8657928234
