,Intercept,SNEBC,resource,Rem. demand,Rem. Debris,Satisfied demand,Exp period before,Exp period after,BC_debris,BC_regular,BC_regular_sp,IG_1
"(280, 1)",1,40.0,1.5,4.0,7.0,5.0,0.301194211912,0.246596963942,2.0,2.0,40.0,0.0
"(280, 3)",1,40.0,0.5,4.0,6.0,5.0,0.818730753078,0.301194211912,2.0,2.0,40.0,0.0
"(280, 5)",1,20.0,3.0,4.0,8.5,5.0,0.818730753078,0.165298888222,2.0,2.0,20.0,0.0
"(280, 6)",1,20.0,1.0,4.0,6.5,5.0,0.818730753078,0.246596963942,2.0,2.0,20.0,0.0
"(281, 0)",1,40.0,0.5,4.0,7.5,5.0,0.246596963942,0.201896517995,2.0,2.0,40.0,0.0
"(281, 3)",1,40.0,0.5,4.0,7.5,5.0,0.246596963942,0.201896517995,2.0,2.0,40.0,0.0
"(281, 5)",1,20.0,3.0,4.0,10.0,5.0,0.246596963942,0.135335283237,2.0,2.0,20.0,0.0
"(281, 6)",1,20.0,1.0,4.0,8.0,5.0,0.818730753078,0.201896517995,2.0,2.0,20.0,0.0
"(284, 2)",1,30.0,4.0,3.0,6.5,5.0,0.548811636094,0.246596963942,2.0,2.0,30.0,0.0
"(284, 4)",1,30.0,1.0,3.0,3.5,5.0,0.818730753078,0.449328964117,2.0,2.0,30.0,0.0
"(284, 5)",1,15.0,3.0,3.0,5.5,5.0,0.818730753078,0.301194211912,2.0,2.0,15.0,0.0
"(284, 6)",1,15.0,1.0,3.0,3.5,5.0,0.818730753078,0.449328964117,2.0,2.0,15.0,0.0
"(285, 4)",1,30.0,1.0,3.0,7.5,5.0,0.818730753078,0.201896517995,2.0,2.0,30.0,0.0
"(285, 5)",1,15.0,3.0,3.0,9.5,5.0,0.246596963942,0.135335283237,2.0,2.0,15.0,0.0
"(285, 6)",1,15.0,1.0,3.0,7.5,5.0,0.818730753078,0.201896517995,2.0,2.0,15.0,0.0
"(288, 3)",1,39.0,0.5,3.0,6.5,1.0,0.818730753078,0.246596963942,6.33333333333,4.0,27.0,3.0
"(288, 4)",1,39.0,1.0,3.0,7.0,1.0,0.301194211912,0.246596963942,6.33333333333,4.0,27.0,3.0
"(288, 5)",1,0.0,3.0,3.0,9.0,1.0,0.301194211912,0.165298888222,3.0,4.0,0.0,0.0
"(288, 6)",1,39.0,1.0,3.0,7.0,1.0,0.818730753078,0.246596963942,5.33333333333,4.0,27.0,3.0
"(290, 0)",1,1.5,0.5,3.0,2.0,4.0,0.818730753078,0.670320046036,8.0,5.5,0.0,0.0
"(290, 2)",1,1.5,4.0,3.0,5.5,4.0,0.670320046036,0.301194211912,8.0,5.5,0.0,0.0
"(290, 4)",1,16.5,1.0,3.0,2.5,4.0,0.818730753078,0.548811636094,8.33333333333,7.0,18.0,3.0
"(290, 5)",1,0.0,3.0,3.0,4.5,4.0,0.818730753078,0.367879441171,3.5,5.5,0.0,0.0
"(290, 6)",1,16.5,1.0,3.0,2.5,4.0,0.818730753078,0.548811636094,6.83333333333,5.5,18.0,3.0
"(291, 0)",1,0.0,0.5,3.0,6.0,4.0,0.301194211912,0.301194211912,4.0,4.0,0.0,0.0
"(291, 3)",1,21.0,0.5,3.0,6.0,4.0,0.818730753078,0.301194211912,6.33333333333,4.0,18.0,3.0
